// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
贺卡	he4ka3	1 greeting card 2 congratulation card
恨	hen4	1 to hate 2 to regret
猴	hou2	monkey M: 只zhī [只]
后悔	hou4hui3	to regret; to feel remorse
胡同儿	hu2tong4r5	lane; alley M: 条tiáo [条]
胡子	hu2zi5	1 beard 2 mustache or whiskers 3 facial hair M: 撮zuǒ [撮] / 根gēn [根] 4 (coll.) bandit
虎	hu3	tiger M: 只zhī [只]
华语	Hua2yu3	Chinese language
滑	hua2	1 to slip; to slide 2 slippery; smooth 3 sly; slippery; not to be trusted
化石	hua4shi2	fossil
划分	hua4fen1	1 to divide up 2 to partition 3 to differentiate
画面	hua4mian4	1 scene 2 tableau 3 picture 4 image 5 screen (displayed by a computer) 6 (motion picture) frame 7 field of view
环节	huan2jie2	1 (zoology) segment (of the body of a worm, centipede etc) 2 (fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc
慌	huang1	1 to get panicky; to lose one's head 2 (coll.) (after 得dé [得]) unbearably; terribly
慌忙	huang1mang2	1 in a great rush 2 in a flurry
灰色	hui1se4	1 gray 2 ash gray 3 grizzly 4 pessimistic 5 gloomy 6 dispirited 7 ambiguous
恢复	hui1fu4	1 to reinstate 2 to resume 3 to restore 4 to recover 5 to regain 6 to rehabilitate
回报	hui2bao4	1 (in) return 2 reciprocation 3 payback 4 retaliation 5 to report back 6 to reciprocate
回避	hui2bi4	1 to shun 2 to avoid (sb) 3 to skirt 4 to evade (an issue) 5 to step back 6 to withdraw 7 to recuse (a judge etc)
回顾	hui2gu4	1 to look back 2 to review
回收	hui2shou1	1 to recycle 2 to reclaim 3 to retrieve 4 to recover 5 to recall (a defective product)
回头	hui2tou2	1 to turn round; to turn one's head 2 later; by and by
回信	hui2xin4	1 to reply 2 to write back 3 letter written in reply M: 封fēng [封]
回忆	hui2yi4	1 to recall 2 memories M: 个gè [个]
汇款	hui4kuan3	1 to remit money 2 remittance
会谈	hui4tan2	1 talks 2 discussions M: 次cì [次]
活力	huo2li4	1 energy 2 vitality 3 vigor 4 vital force
活泼	huo2po5	1 lively 2 vivacious 3 brisk 4 active 5 (chemistry) reactive
火柴	huo3chai2	match (for lighting fire) M: 根gēn [根] / 盒hé [盒]
火腿	huo3tui3	ham M: 个gè [个]
火灾	huo3zai1	serious fire (in a city or a forest etc)
或是	huo4shi4	1 or 2 either one or the other
机器人	ji1qi4ren2	robot; android
机制	ji1zhi4	mechanism
肌肉	ji1rou4	1 muscle 2 flesh
基地	ji1di4	base (of operations, industrial, military, research etc)
基金	ji1jin1	fund
即使	ji2shi3	even if; even though
集团	ji2tuan2	1 group 2 bloc 3 corporation 4 conglomerate
